timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_x,gaze_y,target_x,target_y,target_x_ratio,target_y_ratio,screen_width,screen_height
1755722886643,0.45453,0.46505,0.57735,0.46789,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886671,0.45482,0.46539,0.57745,0.46784,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886699,0.45473,0.46373,0.57740,0.46723,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886726,0.45498,0.46381,0.57750,0.46722,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886756,0.45513,0.46473,0.57687,0.46674,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886782,0.45510,0.46446,0.57675,0.46667,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886812,0.45502,0.46447,0.57689,0.46676,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886839,0.45463,0.46406,0.57690,0.46699,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886867,0.45481,0.46450,0.57661,0.46706,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886895,0.45486,0.46478,0.57682,0.46688,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886922,0.45483,0.46393,0.57679,0.46686,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886951,0.45471,0.46402,0.57699,0.46696,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886980,0.45448,0.46373,0.57721,0.46555,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887010,0.45460,0.46403,0.57748,0.46592,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887036,0.45490,0.46448,0.57721,0.46718,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887063,0.45508,0.46465,0.57724,0.46650,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887092,0.45493,0.46453,0.57776,0.46730,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887120,0.45480,0.46464,0.57775,0.46733,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887149,0.45501,0.46465,0.57779,0.46727,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887178,0.45507,0.46345,0.57747,0.46612,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887208,0.45510,0.46272,0.57753,0.46646,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887237,0.45555,0.46380,0.57824,0.46728,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887264,0.45555,0.46379,0.57841,0.46753,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887301,0.45545,0.46374,0.57848,0.46734,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887330,0.45595,0.46462,0.57789,0.46797,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887360,0.45595,0.46465,0.57819,0.46772,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887388,0.45531,0.46226,0.57824,0.46684,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887416,0.45569,0.46291,0.57801,0.46609,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887444,0.45516,0.46326,0.57767,0.46640,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887472,0.45524,0.46312,0.57770,0.46615,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887502,0.45496,0.46380,0.57779,0.46656,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887529,0.45493,0.46380,0.57777,0.46650,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722887558,0.45520,0.46136,0.57732,0.46391,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
